Tahun;Bulan;Total_Kedatangan;Total_Keberangktan
2015;1;72171;62791
2015;2;169564;117399
2015;3;126843;125139
2015;4;129938;133238
2015;5;142324;139548
2015;6;134634;132166
2015;7;174230;169552
2015;8;143125;147384
2015;9;131202;134155
2015;10;147936;150949
2015;11;137503;135232
2015;12;165419;176137
2016;1;154508;142998
2016;2;144571;148488
2016;3;160459;161836
2016;4;148482;152602
2016;5;173418;174761
2016;6;136788;127816
2016;7;185346;194713
2016;8;146654;150827
2016;9;149329;155367
2016;10;166908;171526
2016;11;166614;169670
2016;12;182629;199136
2017;1;182577;183481
2017;2;164502;187966
2017;3;170583;180539
2017;4;160129;187057
2017;5;170418;177799
2017;6;181641;175788
2017;7;221654;237188
2017;8;193042;190681
2017;9;193830;196841
2017;10;201389;199784
2017;11;200737;198533
2017;12;229545;237735
2018;1;223302;205048
2018;2;197211;195273
2018;3;215233;215496
2018;4;218441;218753
2018;5;194517;188872
2018;6;254109;236513
2018;7;237747;242106
2018;8;213108;212771
2018;9;207250;208879
2018;10;208438;210476
2018;11;200426;196755
2018;12;210853;213723
2019;1;185050;171679
2019;2;152785;152435
2019;3;163865;159634
2019;4;157626;156602
2019;5;142526;122840
2019;6;180943;186183
2019;7;177755;179321
2019;8;176716;167866
2019;9;158797;157935
2019;10;163080;163851
2019;11;172663;170701
2019;12;171879;173345
2020;1;166878;157356
2020;2;150596;149320
2020;3;119490;103583
2020;4;19528;13512
2020;5;1523;2343
2020;6;12398;11669
2020;7;29290;27411
2020;8;39825;40467
2020;9;35244;35137
2020;10;42811;42023
2020;11;55349;55217
2020;12;62329;58908
2021;1;39534;39898
2021;2;36936;37956
2021;3;47154;48097
2021;4;52751;50276
2021;5;46543;49113
2021;6;58440;63987
2021;7;19137;17070
2021;8;16050;17353
2021;9;29138;29881
2021;10;42074;43902
2021;11;61663;61697
2021;12;71569;71262
2022;1;71157;71049
2022;2;52180;54806
2022;3;75846;77319
2022;4;81245;67028
2022;5;97340;105982
2022;6;90031;90254
2022;7;95468;95766
2022;8;76754;82256
2022;9;83897;84582
2022;10;94108;93660
2022;11;96660;97933
2022;12;107826;107155
2023;1;108746;106948
2023;2;102264;103535
2023;3;108589;105874
2023;4;121952;111225
2023;5;116018;134194
2023;6;119295;129016
2023;7;139185;130477
2023;8;120273;117999
2023;9;114321;119801
2023;10;121436;120278
2023;11;117780;117191
2023;12;129668;128451
2024;1;112772;108348
2024;2;107458;109812
2024;3;108485;97458
2024;4;143223;144534
2024;5;117979;126979
2024;6;122254;123651
2024;7;137928;127048
2024;8;123527;124207
2024;9;125982;125036
2024;10;124806;124002
2024;11;108323;114697
2024;12;125553;139415
2025;1;128704;121882
2025;2;112066;109449
2025;3;119897;94346
2025;4;125175;142059
2025;5;103701;109938
2025;6;118576;115871
2025;7;127781;121020
2025;8;121788;118504
2025;9;119536;120654
